#1
इमं|imam|idam — this (acc. sg. masc., referring to yogam)
प्रोक्तवानिति|proktavān iti|pra-vac — to declare, teach (proktavān: perfect participle 'you declared, taught', nom. sg. masc.);;iti — thus (closing the quoted question)
#5
बहूनि|bahūni|bahu — many (nom. pl. neut.)
मे|me|aham — I (me: enclitic gen. sg. 'my')
व्यतीतानि|vyatītāni|vi-ati-i — to pass by, elapse (vyatīta: past participle 'passed, gone by', nom. pl. neut.)
जन्मानि|janmāni|janman — birth (nom. pl. neut.)
तव|tava|tvam — you (gen. sg. 'your')
चार्जुन|ca arjuna|ca — and (ca + a- → cā-);;Arjuna — Arjuna (vocative)
--
तान्यहं|tāni aham|tad — that, they (tāni: acc. pl. neut. 'those');;aham — I (nom. sg.; tāni + a- → tāny a-)
वेद|veda|vid — to know (veda: perfect 1st sg. used as present, 'I know')
सर्वाणि|sarvāṇi|sarva — all (acc. pl. neut., agreeing with tāni)
न|na|na — not
त्वं|tvam|tvam — you (nom. sg.)
वेत्थ|vettha|vid — to know (vettha: perfect 2nd sg. 'you know')
परन्तप|parantapa|parantapa — 'scorcher of the foe', epithet of Arjuna (vocative)
#6
अजोऽपि|ajaḥ api|a-ja — unborn (aja: nom. sg.; -aḥ + a- → -o with avagraha);;api — although, even
सन्नव्ययात्मा|san avyaya-ātmā|as — to be (sant: present participle 'being', san: nom. sg. masc.; -n + a- → -nn a-);;a-vyaya — imperishable (first compound member);;ātman — self, nature (avyaya-ātman: 'whose nature is imperishable', nom. sg.; -a + ā- → -ā-)
भूतानामीश्वरोऽपि|bhūtānām īśvaraḥ api|bhūta — being, creature (gen. pl. 'of beings');;īśvara — lord, ruler (īśvaraḥ: nom. sg.; -aḥ + a- → -o with avagraha);;api — although, even
सन्|san|as — to be (sant: present participle, nom. sg. masc. 'being')
--
प्रकृतिं|prakṛtim|prakṛti — nature, [my own] material nature (acc. sg., object of adhiṣṭhāya)
स्वामधिष्ठाय|svām adhiṣṭhāya|sva — own (svām: acc. sg. fem., agreeing with prakṛtim);;adhi-sthā — to preside over, take control of, resort to (adhiṣṭhāya: gerund 'having taken control of')
संभवाम्यात्ममायया|saṃbhavāmi ātma-māyayā|sam-bhū — to come into being, be born (saṃbhavāmi: present 1st sg. 'I come to be'; -i + ā- → -y ā-);;ātman — self (first compound member);;māyā — power of illusion, creative power (ātma-māyā: 'my own power of illusion', instr. sg. 'through my own power')
#7
यदा|yadā|yadā — when, whenever (adverb)
यदा|yadā|yadā — when, whenever (doubled, 'whenever')
हि|hi|hi — indeed, for
धर्मस्य|dharmasya|dharma — dharma (gen. sg. 'of dharma')
ग्लानिर्भवति|glāniḥ bhavati|glāni — decay, fading, decline (glāniḥ: nom. sg.; -iḥ + bh- → -ir bh-);;bhū — to come to be, occur (bhavati: present 3rd sg.)
भारत|bhārata|Bhārata — descendant of Bharata, Arjuna (vocative)
--
अभ्युत्थानमधर्मस्य|abhyutthānam adharmasya|abhi-ud-sthā — to rise up, arise (abhyutthāna: 'a rising up', acc. sg. neut., parallel to glāniḥ);;a-dharma — adharma, unrighteousness (gen. sg. 'of adharma')
तदात्मानं|tadā ātmānam|tadā — then (tadā + ā- → tadā-);;ātman — self (ātmānam: acc. sg. 'myself')
सृजाम्यहम्|sṛjāmi aham|sṛj — to create, send forth (sṛjāmi: present 1st sg. 'I send forth'; -i + a- → -y a-);;aham — I (nom. sg.)
#8
परित्राणाय|paritrāṇāya|pari-trai — to rescue, protect fully (paritrāṇa: 'rescue', dat. sg. 'for the rescue')
साधूनां|sādhūnām|sādhu — a good person, the virtuous (gen. pl. 'of the good')
विनाशाय|vināśāya|vi-naś — to destroy (vināśa: 'destruction', dat. sg. 'for the destruction')
च|ca|ca — and
दुष्कृताम्|duṣkṛtām|duṣ-kṛt — an evildoer (gen. pl. 'of evildoers')
--
धर्मसंस्थापनार्थाय|dharma-saṃsthāpana-arthāya|dharma — dharma (first compound member);;sam-sthā — to establish firmly (saṃsthāpana: 'establishing', second compound member);;artha — purpose, sake (dharma-saṃsthāpana-artha: 'for the purpose of establishing dharma', dat. sg.)
सम्भवामि|sambhavāmi|sam-bhū — to come into being, be born (sambhavāmi: present 1st sg. 'I come to be')
युगे|yuge|yuga — age, era (loc. sg. 'in [each] age')
युगे|yuge|yuga — age, era (loc. sg., doubled: 'age after age')
#9
जन्म|janma|janman — birth (acc. sg. neut., object of vetti)
कर्म|karma|karman — action, deed (acc. sg. neut., object of vetti)
च|ca|ca — and
मे|me|aham — I (me: enclitic gen. sg. 'my')
दिव्यमेवं|divyam evam|divya — divine (divyam: acc. sg. neut., agreeing with janma and karma);;evam — thus (adverb, modifying vetti, 'who thus knows')
यो|yaḥ|yad — who (nom. sg. masc. relative; -aḥ before v- → -o)
वेत्ति|vetti|vid — to know (vetti: present 3rd sg.)
तत्त्वतः|tattvataḥ|tattva — reality, truth (tattvataḥ: adverbial abl. 'in reality, in truth')
--
त्यक्त्वा|tyaktvā|tyaj — to abandon, give up (tyaktvā: gerund 'having given up')
देहं|deham|deha — body (acc. sg.)
पुनर्जन्म|punaḥ janma|punar — again (punaḥ + j- → punar j-);;janman — birth (acc. sg. neut., object of eti)
नैति|na eti|na — not (na + e- → nai-);;i — to go (eti: present 3rd sg. 'goes to, attains')
मामेति|mām eti|aham — I (mām: acc. sg. 'me');;i — to go (eti: present 3rd sg. 'comes to, attains')
सोऽर्जुन|saḥ arjuna|tad — that, he (saḥ: nom. sg. masc.; -aḥ + a- → -o with avagraha);;Arjuna — Arjuna (vocative)
#10
वीतरागभयक्रोधा|vīta-rāga-bhaya-krodhāḥ|vīta — departed, free from (past participle of vi-i, first compound member);;rāga — passion, attachment (second compound member);;bhaya — fear (third compound member);;krodha — anger (vīta-rāga-bhaya-krodha: 'free from passion, fear and anger', nom. pl.; -āḥ before m- → -ā)
मन्मया|manmayāḥ|mad-maya — consisting of, wholly absorbed in [me] (manmaya: nom. pl.; mad + maya → manmaya, -d + m- → -n m-)
मामुपाश्रिताः|mām upāśritāḥ|aham — I (mām: acc. sg. 'me');;upa-ā-śri — to resort to, take refuge in (upāśrita: past participle 'having taken refuge in', nom. pl.)
--
बहवो|bahavaḥ|bahu — many (nom. pl.; -aḥ before j- → -o)
ज्ञानतपसा|jñāna-tapasā|jñāna — knowledge (first compound member);;tapas — austerity, ascetic discipline (jñāna-tapas: 'the austerity of knowledge', instr. sg.)
पूता|pūtāḥ|pū — to purify (pūta: past participle 'purified', nom. pl.)
मद्भावमागताः|mad-bhāvam āgatāḥ|mad — me (stem form of aham in compounds);;bhāva — being, state, nature (mad-bhāva: 'my state of being', acc. sg.);;ā-gam — to come to, attain (āgata: past participle 'having attained', nom. pl.)
#11
ये|ye|yad — who (nom. pl. masc. relative)
यथा|yathā|yathā — in whatever way, as
मां|mām|aham — I (acc. sg. 'me')
प्रपद्यन्ते|prapadyante|pra-pad — to approach, resort to, take refuge in (prapadyante: present middle 3rd pl. 'they approach')
तांस्तथैव|tān tathā eva|tad — that, they (tān: acc. pl. 'them'; -n + t- → -ṃs t-);;tathā — so, in that way (tathā + eva → tathaiva);;eva — indeed, just
भजाम्यहम्|bhajāmi aham|bhaj — to share, favor, love in return (bhajāmi: present 1st sg. 'I favor'; -i + a- → -y a-);;aham — I (nom. sg.)
--
मम|mama|aham — I (gen. sg. 'my')
वर्त्मानुवर्तन्ते|vartma anuvartante|vartman — path, track (vartma: nom. sg. neut.; vartma + a- → vartmā-);;anu-vṛt — to follow (anuvartante: present middle 3rd pl. 'they follow')
मनुष्याः|manuṣyāḥ|manuṣya — a man, a human being (nom. pl.)
पार्थ|pārtha|Pārtha — 'son of Pṛthā', Arjuna (vocative)
सर्वशः|sarvaśaḥ|sarvaśaḥ — in every way, altogether (adverb)
#12
काङ्क्षन्तः|kāṅkṣantaḥ|kāṅkṣ — to desire, long for (kāṅkṣant: present participle, nom. pl. 'desiring')
कर्मणां|karmaṇām|karman — action (gen. pl. 'of actions')
सिद्धिं|siddhim|siddhi — success, fulfillment (acc. sg., object of kāṅkṣantaḥ)
यजन्त|yajante|yaj — to sacrifice, worship (yajante: present middle 3rd pl. 'they worship'; -e + i- → -a i-, cf. 3.28 vartanta)
इह|iha|iha — here, in this world
देवताः|devatāḥ|devatā — deity, god (nom. pl.)
--
क्षिप्रं|kṣipram|kṣipra — quick, swift (adverbial acc. 'quickly')
हि|hi|hi — for, indeed
मानुषे|mānuṣe|mānuṣa — human, of men (loc. sg., agreeing with loke)
लोके|loke|loka — world (loc. sg. 'in the world')
सिद्धिर्भवति|siddhiḥ bhavati|siddhi — success, attainment (nom. sg.; -iḥ + bh- → -ir bh-);;bhū — to come to be, arise (bhavati: present 3rd sg.)
कर्मजा|karma-jā|karman — action (first compound member);;ja — born, arising from (karma-ja: 'born of action', nom. sg. fem., agreeing with siddhiḥ)
#13
चातुर्वर्ण्यं|cāturvarṇyam|catur-varṇya — the fourfold class-system (abstract noun from catur-varṇa, 'the four varṇas'; acc. sg. neut.)
मया|mayā|aham — I (instr. sg. 'by me')
सृष्टं|sṛṣṭam|sṛj — to create, emit (sṛṣṭa: past participle 'created', acc. sg. neut., agreeing with cāturvarṇyam)
गुणकर्मविभागशः|guṇa-karma-vibhāgaśaḥ|guṇa — one of the three guṇas (first compound member; kept untranslated per convention);;karman — action (second compound member);;vibhāga — division, distinction (guṇa-karma-vibhāga: 'the division of guṇa and action', vibhāgaśaḥ: adverbial with the distributive suffix -śas, 'according to the division of')
--
तस्य|tasya|tad — that, it (gen. sg. 'of it', referring to cāturvarṇyam)
कर्तारमपि|kartāram api|kṛ — to do (kartṛ: agent noun 'doer', kartāram: acc. sg. 'as the doer');;api — although, even
मां|mām|aham — I (acc. sg. 'me')
विद्ध्यकर्तारमव्ययम्|viddhi akartāram avyayam|vid — to know (viddhi: imperative 2nd sg. 'know!'; -i + a- → -y a-);;a-kartṛ — non-doer (akartāram: acc. sg. 'as the non-doer');;a-vyaya — imperishable, unchanging (avyayam: acc. sg., agreeing with mām)
#14
न|na|na — not
मां|mām|aham — I (acc. sg. 'me')
कर्माणि|karmāṇi|karman — action (nom. pl., subject of limpanti)
लिम्पन्ति|limpanti|lip — to stain, defile, cling to (limpanti: present 3rd pl. 'they stain')
न|na|na — not
मे|me|aham — I (me: enclitic gen. sg. 'my')
कर्मफले|karma-phale|karman — action (first compound member);;phala — fruit, result (karma-phala: 'the fruit of action', loc. sg.)
स्पृहा|spṛhā|spṛhā — longing, desire (nom. sg., 'there is longing')
--
इति|iti|iti — thus (closing the quoted teaching)
मां|mām|aham — I (acc. sg. 'me')
योऽभिजानाति|yaḥ abhijānāti|yad — who (yaḥ: nom. sg. masc. relative; -aḥ + a- → -o with avagraha);;abhi-jñā — to know fully, understand (abhijānāti: present 3rd sg. 'understands')
कर्मभिर्न|karmabhiḥ na|karman — action (instr. pl. 'by actions'; -iḥ + n- → -ir n-);;na — not
स|saḥ|tad — that, he (nom. sg. masc.)
बध्यते|badhyate|bandh — to bind (badhyate: present passive 3rd sg. 'is bound')
#15
एवं|evam|evam — thus
ज्ञात्वा|jñātvā|jñā — to know (jñātvā: gerund 'having known [this]')
कृतं|kṛtam|kṛ — to do (kṛta: past participle 'done', nom. sg. neut., predicate with karma)
कर्म|karma|karman — action (nom. sg., subject of kṛtam)
पूर्वैरपि|pūrvaiḥ api|pūrva — former, ancient (pūrvaiḥ: instr. pl., agent of the passive-sense kṛtam, 'by the ancients');;api — even, also (pūrvaiḥ + api → pūrvair api)
मुमुक्षुभिः|mumukṣubhiḥ|muc — to release (mumukṣu: desiderative adjective 'desiring release', instr. pl., agreeing with pūrvaiḥ)
--
कुरु|kuru|kṛ — to do (kuru: imperative 2nd sg. 'do!')
कर्मैव|karma eva|karman — action (acc. sg., object of kuru);;eva — indeed (karma + eva → karmaiva)
तस्मात्त्वं|tasmāt tvam|tad — that (tasmāt: abl. sg. 'therefore');;tvam — you (nom. sg.; -t + tv- → -t tv- written doubled)
पूर्वैः|pūrvaiḥ|pūrva — former, ancient (instr. pl. 'by the ancients', repeated from the first line)
पूर्वतरं|pūrvataram|pūrva — former (comparative pūrvatara: 'more anciently, even earlier', adverbial acc. sg. neut.)
कृतम्|kṛtam|kṛ — to do (kṛta: past participle, acc. sg. neut. 'done', in apposition to karma)
#16
किं|kim|kim — what?
कर्म|karma|karman — action (nom. sg., predicate: 'what is action?')
किमकर्मेति|kim akarma iti|kim — what? (repeated);;a-karman — inaction (akarma: nom. sg. neut., predicate 'what is inaction?');;iti — thus (closes the quoted question; akarma + iti → akarmeti)
कवयोऽप्यत्र|kavayaḥ api atra|kavi — poet, sage, seer (kavayaḥ: nom. pl.; -aḥ + a- → -o with avagraha);;api — even (kavayo 'pi + atra → kavayo 'py atra, -i + a- → -y a-);;atra — here, in this matter
मोहिताः|mohitāḥ|muh — to be confused (mohita: causative past participle 'confused, deluded', nom. pl.)
--
तत्ते|tat te|tad — that (tat: acc. sg. neut., object of pravakṣyāmi);;tvam — you (te: enclitic dat. sg. 'to you')
कर्म|karma|karman — action (acc. sg., in apposition to tat)
प्रवक्ष्यामि|pravakṣyāmi|pra-vac — to declare, proclaim (pravakṣyāmi: future 1st sg. 'I will declare')
यज्ज्ञात्वा|yat jñātvā|yad — which (yat: acc. sg. neut. relative, object of jñātvā);;jñā — to know (jñātvā: gerund 'having known'; -t + j- → -j j- written doubled)
मोक्ष्यसेऽशुभात्|mokṣyase aśubhāt|muc — to release (mokṣyase: future middle 2nd sg. 'you shall be freed'; -e + a- → -e with avagraha);;a-śubha — evil, misfortune (aśubhāt: abl. sg. 'from evil')
#17
कर्मणो|karmaṇaḥ|karman — action (gen. sg. 'of action, what action is'; -aḥ + h- → -o h-)
ह्यपि|hi api|hi — for, indeed (hi + a- → hy a-);;api — even
बोद्धव्यं|boddhavyam|budh — to know, understand (boddhavya: gerundive 'is to be known, must be understood', nom. sg. neut., impersonal)
बोद्धव्यं|boddhavyam|budh — to know (boddhavya: gerundive, nom. sg. neut., repeated)
च|ca|ca — and
विकर्मणः|vikarmaṇaḥ|vi-karman — wrong action, forbidden action (gen. sg. 'of wrong action')
--
अकर्मणश्च|akarmaṇaḥ ca|a-karman — inaction (akarmaṇaḥ: gen. sg. 'of inaction'; -aḥ + c- → -aś c-);;ca — and
बोद्धव्यं|boddhavyam|budh — to know (boddhavya: gerundive, nom. sg. neut.)
गहना|gahanā|gahana — deep, dense, impenetrable (nom. sg. fem., agreeing with gatiḥ)
कर्मणो|karmaṇaḥ|karman — action (gen. sg.; -aḥ + g- → -o g-)
गतिः|gatiḥ|gam — to go (gati: 'course, movement, way', nom. sg. fem.)
#18
कर्मण्यकर्म|karmaṇi akarma|karman — action (karmaṇi: loc. sg. 'in action');;a-karman — inaction (akarma: acc. sg. neut., object of paśyet; karmaṇi + a- → karmaṇy a-)
यः|yaḥ|yad — who (nom. sg. masc. relative)
पश्येदकर्मणि|paśyet akarmaṇi|dṛś — to see (paśyet: optative 3rd sg. 'should see'; -t + a- → -d a-);;a-karman — inaction (akarmaṇi: loc. sg. 'in inaction')
च|ca|ca — and
कर्म|karma|karman — action (acc. sg., object of paśyet, understood repeated)
यः|yaḥ|yad — who (nom. sg. masc. relative, repeated)
--
स|saḥ|tad — that, he (nom. sg. masc.; visarga dropped before b-)
बुद्धिमान्मनुष्येषु|buddhimān manuṣyeṣu|buddhi-mant — possessed of understanding, wise (buddhimān: nom. sg. masc.);;manuṣya — man (manuṣyeṣu: loc. pl. 'among men')
स|saḥ|tad — that, he (nom. sg. masc.; visarga dropped before y-)
युक्तः|yuktaḥ|yuj — to join, discipline (yukta: past participle 'disciplined, one who has attained yoga', nom. sg.)
कृत्स्नकर्मकृत्|kṛtsna-karma-kṛt|kṛtsna — whole, entire (first compound member);;karman — action (second compound member);;kṛt — doer, one who does (kṛtsna-karma-kṛt: 'one who has accomplished all action', nom. sg.)
#19
यस्य|yasya|yad — who (gen. sg. 'whose')
सर्वे|sarve|sarva — all (nom. pl., agreeing with samārambhāḥ)
समारम्भाः|samārambhāḥ|sam-ā-rabh — to undertake (samārambha: 'undertaking', nom. pl.)
कामसंकल्पवर्जिताः|kāma-saṃkalpa-varjitāḥ|kāma — desire (first compound member);;saṃkalpa — intention, purpose, resolve (second compound member);;varjita — devoid of, free from (kāma-saṃkalpa-varjita: 'free from desire and intention', nom. pl.)
--
ज्ञानाग्निदग्धकर्माणं|jñāna-agni-dagdha-karmāṇam|jñāna — knowledge (first compound member);;agni — fire (jñāna-agni: 'the fire of knowledge', second member; jñāna + a- → jñānā-);;dagdha — burnt (past participle of dah, third member);;karman — action (jñānāgni-dagdha-karman: 'whose actions are burnt up by the fire of knowledge', acc. sg., agreeing with tam)
तमाहुः|tam āhuḥ|tad — that, him (tam: acc. sg.);;ah — to say, call (āhuḥ: perfect 3rd pl. used as present 'they call')
पण्डितं|paṇḍitam|paṇḍita — learned, a scholar, a wise man (acc. sg., predicate of āhuḥ, 'they call him "wise"')
बुधाः|budhāḥ|budh — to know (budha: 'the wise, those who know', nom. pl., subject of āhuḥ)
#20
त्यक्त्वा|tyaktvā|tyaj — to abandon (tyaktvā: gerund 'having abandoned')
कर्मफलासङ्गं|karma-phala-āsaṅgam|karman — action (first compound member);;phala — fruit (second compound member);;āsaṅga — attachment, clinging (karma-phala-āsaṅga: 'attachment to the fruit of action', acc. sg., object of tyaktvā; phala + ā- → phalā-)
नित्यतृप्तो|nitya-tṛptaḥ|nitya — eternal, constant (first compound member);;tṛpta — satisfied, content (nitya-tṛpta: 'ever content', nom. sg.; -aḥ before n- → -o)
निराश्रयः|nirāśrayaḥ|nir-āśraya — without support, without refuge (nom. sg.)
--
कर्मण्यभिप्रवृत्तोऽपि|karmaṇi abhipravṛttaḥ api|karman — action (karmaṇi: loc. sg.; -i + a- → -y a-);;abhi-pra-vṛt — to be engaged, set about (abhipravṛtta: past participle 'engaged, set about', nom. sg.; -aḥ + a- → -o with avagraha);;api — even, although
नैव|na eva|na — not (na + e- → nai-);;eva — at all, indeed
किंचित्करोति|kiṃcit karoti|kiṃcit — anything (acc. sg. neut.);;kṛ — to do (karoti: present 3rd sg. 'does')
सः|saḥ|tad — that, he (nom. sg. masc.)
#21
निराशीर्यतचित्तात्मा|nirāśīḥ yata-citta-ātmā|nir-āśis — without desire, without hope of gain (nirāśīḥ: nom. sg.; -īḥ + y- → -īr y-);;yata — restrained, controlled (past participle of yam, first compound member);;citta — mind, thought (second compound member);;ātman — self (yata-citta-ātman: 'whose mind and self are controlled', nom. sg.; citta + ā- → cittā-)
त्यक्तसर्वपरिग्रहः|tyakta-sarva-parigrahaḥ|tyakta — abandoned, given up (first compound member);;sarva — all (second compound member);;parigraha — possession, acquisition, grasping (tyakta-sarva-parigraha: 'having given up all possessions', nom. sg.)
--
शारीरं|śārīram|śārīra — bodily, pertaining to the body (acc. sg. neut., agreeing with karma)
केवलं|kevalam|kevala — mere, only (acc. sg. neut.)
कर्म|karma|karman — action (acc. sg., object of kurvan)
कुर्वन्नाप्नोति|kurvan na āpnoti|kṛ — to do (kurvan: present participle, nom. sg. 'doing'; kurvan + na → kurvanna, -n + n- written doubled);;na — not;;āp — to attain, incur (āpnoti: present 3rd sg. 'incurs'; na + ā- → nā-)
किल्बिषम्|kilbiṣam|kilbiṣa — sin, fault (acc. sg., object of āpnoti)
#22
यदृच्छालाभसंतुष्टो|yadṛcchā-lābha-saṃtuṣṭaḥ|yadṛcchā — chance, spontaneous occurrence (first compound member);;lābha — gain, acquisition (second compound member);;saṃtuṣṭa — satisfied, content (yadṛcchā-lābha-saṃtuṣṭa: 'content with what comes by chance', nom. sg.; -aḥ before d- → -o)
द्वन्द्वातीतो|dvandva-atītaḥ|dvandva — a pair (of opposites, such as pleasure and pain);;atīta — gone beyond, transcended (past participle of ati-i; dvandva-atīta: 'beyond the pairs of opposites', nom. sg.; dvandva + a- → dvandvā-; -aḥ before v- → -o)
विमत्सरः|vimatsaraḥ|vi-matsara — free from envy, without malice (nom. sg.)
--
समः|samaḥ|sama — equal, the same (nom. sg.)
सिद्धावसिद्धौ|siddhau asiddhau|siddhi — success, accomplishment (siddhau: loc. sg. 'in success');;a-siddhi — failure, non-accomplishment (asiddhau: loc. sg. 'in failure'; -au + a- → -āv a-)
च|ca|ca — and
कृत्वापि|kṛtvā api|kṛ — to do (kṛtvā: gerund 'having done, having acted');;api — even (kṛtvā + api → kṛtvāpi)
न|na|na — not
निबध्यते|nibadhyate|ni-bandh — to bind (nibadhyate: present passive 3rd sg. 'is bound')
#23
गतसङ्गस्य|gata-saṅgasya|gata — gone (past participle of gam, first compound member);;saṅga — attachment, clinging (gata-saṅga: 'one whose attachment is gone', gen. sg.)
मुक्तस्य|muktasya|muc — to release (mukta: past participle 'liberated, freed', gen. sg.)
ज्ञानावस्थितचेतसः|jñāna-avasthita-cetasaḥ|jñāna — knowledge (first compound member; jñāna + a- → jñānā-);;ava-sthā — to be established, fixed (avasthita: past participle, second compound member);;cetas — mind (jñāna-avasthita-cetas: 'whose mind is established in knowledge', gen. sg.)
--
यज्ञायाचरतः|yajñāya ācarataḥ|yajña — sacrifice (yajñāya: dat. sg. 'for the sake of sacrifice');;ā-car — to act, perform (ācarataḥ: present participle, gen. sg. 'of one who acts, performing'; yajñāya + ā- → yajñāyā-)
कर्म|karma|karman — action (nom. sg., subject of pravilīyate)
समग्रं|samagram|samagra — whole, entire (nom. sg. neut., agreeing with karma)
प्रविलीयते|pravilīyate|pra-vi-lī — to melt away, dissolve completely (pravilīyate: present passive 3rd sg. 'is dissolved, melts away entirely')
#24
ब्रह्मार्पणं|brahma arpaṇam|brahman — brahman (kept untranslated; nom. sg. neut.);;arpaṇa — the act or instrument of offering (arpaṇam: nom. sg. neut., predicate: 'the offering is brahman')
ब्रह्म|brahma|brahman — brahman (nom. sg. neut., predicate continues: 'brahman is the oblation')
हविर्ब्रह्माग्नौ|haviḥ brahma-agnau|havis — oblation, the substance offered (haviḥ: nom. sg. neut.; -iḥ + b- → -ir b-);;brahman — brahman (first compound member, kept untranslated);;agni — fire (brahma-agni: 'the fire that is brahman', loc. sg. 'into the brahman-fire'; brahma + a- → brahmā-)
ब्रह्मणा|brahmaṇā|brahman — brahman (instr. sg. 'by brahman', the agent who offers)
हुतम्|hutam|hu — to offer, pour as oblation (huta: past participle 'offered, poured', nom. sg. neut., completing the series 'offered by brahman')
--
ब्रह्मैव|brahma eva|brahman — brahman (nom. sg. neut., now named as the goal);;eva — alone, itself (brahma + eva → brahmaiva)
तेन|tena|tad — that, he (tena: instr. sg. 'by him', the agent of the gerundive gantavyam)
गन्तव्यं|gantavyam|gam — to go (gantavya: gerundive 'is to be reached, attained', nom. sg. neut., agreeing with brahma)
ब्रह्मकर्मसमाधिना|brahma-karma-samādhinā|brahman — brahman (first compound member);;karman — action (second compound member; brahma-karman: 'action [known as] brahman');;samādhi — absorption, deep concentration (brahma-karma-samādhi: 'absorption in brahman-action', instr. sg., describing tena)
#25
दैवमेवापरे|daivam eva apare|daiva — divine, pertaining to the gods (daivam: acc. sg. neut., agreeing with yajñam, 'sacrifice directed to the gods');;eva — alone, only;;apara — other (apare: nom. pl. 'others, some'; eva + a- → evā-)
यज्ञं|yajñam|yajña — sacrifice (acc. sg., object of paryupāsate)
योगिनः|yoginaḥ|yogin — one who practices yoga, a yogin (nom. pl.)
