#1
संन्यासं|saṃnyāsam|saṃnyāsa — renunciation (acc. sg. neut., object of śaṃsasi)
कुर्वन्नपि|kurvan api|kṛ — to do (kurvan: present participle, nom. sg. 'doing, even while acting');;api — even, although (kurvan + api → kurvannapi, -n + a- → -nn a-)
न|na|na — not
लिप्यते|lipyate|lip — to stain, defile, cling to (lipyate: present passive 3rd sg. 'is stained, tainted')
#8
नैव|na eva|na — not (na + e- → nai-);;eva — at all, indeed
किंचित्करोमीति|kiṃcit karomi iti|kiṃcit — anything (acc. sg. neut., object of karomi);;kṛ — to do (karomi: present 1st sg. 'I do');;iti — thus (closing the quoted thought; karomi + iti → karomīti)
युक्तो|yuktaḥ|yuj — to join, discipline (yukta: past participle 'disciplined, one who has attained yoga', nom. sg.; -aḥ before m- → -o)
मन्येत|manyeta|man — to think (manyeta: optative middle 3rd sg. 'should think')
तत्त्ववित्|tattva-vit|tattva — reality, truth (first compound member);;vid — knowing (vit: 'a knower', tattva-vit: 'a knower of truth/reality', nom. sg.)
--
पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन्|paśyan śṛṇvan spṛśan jighran aśnan gacchan svapan śvasan|dṛś — to see (paśyan: present participle nom. sg. 'seeing');;śru — to hear (śṛṇvan: present participle nom. sg. 'hearing'; the Wikisource source misprints an extra र् as श्रृण्वन्, here corrected to शृण्वन्, matching BORI);;spṛś — to touch (spṛśan: present participle nom. sg. 'touching');;ghrā — to smell (jighran: present participle nom. sg. 'smelling', reduplicated present stem);;aś — to eat, consume (aśnan: present participle nom. sg. 'eating');;gam — to go, walk (gacchan: present participle nom. sg. 'walking, going');;svap — to sleep (svapan: present participle nom. sg. 'sleeping');;śvas — to breathe (śvasan: present participle nom. sg. 'breathing')
#9
प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि|pralapan visṛjan gṛhṇan unmiṣan nimiṣan api|lap — to talk, chatter (pra-lap: pralapan: present participle nom. sg. 'talking');;sṛj — to emit, release (vi-sṛj: visṛjan: present participle nom. sg. 'excreting, releasing');;grah — to seize, grasp (gṛhṇan: present participle nom. sg. 'grasping');;miṣ — to blink, wink (ud-miṣ: unmiṣan: present participle nom. sg. 'opening the eyes'; gṛhṇan + u- → gṛhṇann u-);;miṣ — to blink, wink (ni-miṣ: nimiṣan: present participle nom. sg. 'closing the eyes');;api — even, also (nimiṣan + api → nimiṣann api)
--
इन्द्रियाणीन्द्रियार्थेषु|indriyāṇi indriya-artheṣu|indriya — sense-organ (indriyāṇi: acc. pl., subject of vartante);;indriya — sense-organ (first compound member);;artha — object, purpose (indriya-artha: 'object of the senses', loc. pl. 'among the objects of the senses'; indriyāṇi + i- → indriyāṇī-)
वर्तन्त|vartante|vṛt — to move, function, occur (vartante: present middle 3rd pl. 'they move, function'; -e + i- → -a i-, cf. 3.28 vartanta, 4.12 yajanta)
इति|iti|iti — thus (closing the quoted thought)
धारयन्|dhārayan|dhṛ — to hold, maintain (causative dhārayati; dhārayan: present participle nom. sg. 'holding [in mind], maintaining the thought that...')
#10
ब्रह्मण्याधाय|brahmaṇi ādhāya|brahman — brahman (brahmaṇi: loc. sg., kept untranslated; -i + ā- → -y ā-);;ā-dhā — to place, deposit, entrust (ādhāya: gerund 'having placed, having deposited')
कर्माणि|karmāṇi|karman — action (acc. pl., object of ādhāya and understood object of karoti)
सङ्गं|saṅgam|saṅga — attachment, clinging (acc. sg., object of tyaktvā)
त्यक्त्वा|tyaktvā|tyaj — to abandon, give up (tyaktvā: gerund 'having given up')
करोति|karoti|kṛ — to do (karoti: present 3rd sg.)
यः|yaḥ|yad — who (nom. sg. masc. relative)
--
लिप्यते|lipyate|lip — to stain, defile, taint (lipyate: present passive 3rd sg. 'is stained')
न|na|na — not
स|saḥ|tad — that, he (nom. sg. masc.)
पापेन|pāpena|pāpa — sin, evil (instr. sg. 'by sin')
पद्मपत्रमिवाम्भसा|padma-patram iva ambhasā|padma — lotus (first compound member);;patra — leaf (padma-patra: 'lotus-leaf', nom. sg. neut., subject of the implied comparison);;iva — like, as;;ambhas — water (ambhasā: instr. sg. 'by water'; iva + a- → ivā-)
#11
कायेन|kāyena|kāya — body (instr. sg. 'with the body')
मनसा|manasā|manas — mind (instr. sg. 'with the mind')
बुद्ध्या|buddhyā|buddhi — intellect, understanding (instr. sg. 'with the intellect')
केवलैरिन्द्रियैरपि|kevalaiḥ indriyaiḥ api|kevala — mere, alone (instr. pl., agreeing with indriyaiḥ);;indriya — sense-organ (indriyaiḥ: instr. pl. 'with the senses'; -aiḥ + i- → -air i-);;api — even, also (indriyaiḥ + api → indriyair api)
--
योगिनः|yoginaḥ|yogin — one who practices yoga, a yogin (nom. pl., subject)
कर्म|karma|karman — action (acc. sg., object of kurvanti)
कुर्वन्ति|kurvanti|kṛ — to do (kurvanti: present 3rd pl.)
सङ्गं|saṅgam|saṅga — attachment (acc. sg., object of tyaktvā)
त्यक्त्वात्मशुद्धये|tyaktvā ātma-śuddhaye|tyaj — to abandon (tyaktvā: gerund 'having given up');;ātman — self (first compound member);;śuddhi — purification (ātma-śuddhi: 'purification of the self', śuddhaye: dat. sg. 'for the purification of'; tyaktvā + ā- → tyaktvā-)
#12
युक्तः|yuktaḥ|yuj — to join, discipline (yukta: past participle 'disciplined', nom. sg., subject)
कर्मफलं|karma-phalam|karman — action (first compound member);;phala — fruit (karma-phala: 'the fruit of action', acc. sg., object of tyaktvā)
त्यक्त्वा|tyaktvā|tyaj — to abandon (tyaktvā: gerund 'having given up')
शान्तिमाप्नोति|śāntim āpnoti|śānti — peace (śāntim: acc. sg., object of āpnoti);;āp — to attain, reach (āpnoti: present 3rd sg.)
नैष्ठिकीम्|naiṣṭhikīm|naiṣṭhika — settled, final, resulting from steadfast devotion (derivative of niṣṭhā, 'steadfastness'; naiṣṭhikīm: acc. sg. fem., agreeing with śāntim)
--
अयुक्तः|ayuktaḥ|a-yukta — undisciplined, not disciplined in yoga (nom. sg., subject)
कामकारेण|kāma-kāreṇa|kāma — desire (first compound member);;kāra — action, impulse (kāma-kāra: 'the impulse of desire', instr. sg. 'through the impulse of desire')
फले|phale|phala — fruit (loc. sg. 'in the fruit')
सक्तो|saktaḥ|sañj — to cling, be attached (sakta: past participle 'attached', nom. sg.; -aḥ before n- → -o)
निबध्यते|nibadhyate|ni-bandh — to bind, fetter (nibadhyate: present passive 3rd sg. 'is bound')
#13
सर्वकर्माणि|sarva-karmāṇi|sarva — all (first compound member);;karman — action (sarva-karman: 'all actions', acc. pl., object of saṃnyasya)
मनसा|manasā|manas — mind (instr. sg. 'with the mind, mentally')
संन्यस्यास्ते|saṃnyasya āste|sam-ni-as — to renounce, lay down (saṃnyasya: gerund 'having renounced');;ās — to sit, remain, dwell (āste: present middle 3rd sg. 'remains, abides'; saṃnyasya + ā- → saṃnyasyā-)
सुखं|sukham|sukha — happily, at ease (adverbial acc. sg. neut.)
वशी|vaśī|vaśin — self-controlled, master of oneself (nom. sg.)
--
नवद्वारे|nava-dvāre|nava — nine (first compound member);;dvāra — gate, door (nava-dvāra: 'nine-gated', loc. sg., agreeing with pure)
पुरे|pure|pura — city, citadel (loc. sg. 'in the city' — a figure for the body)
देही|dehī|dehin — the embodied one, the possessor of a body (nom. sg., subject of āste)
नैव|na eva|na — not (na + e- → nai-);;eva — at all, indeed
कुर्वन्न|kurvan na|kṛ — to do (kurvan: present participle nom. sg. 'doing');;na — not (kurvan + na → kurvanna, doubled n)
कारयन्|kārayan|kṛ — to do (causative kārayati: kārayan: present participle nom. sg. 'causing to be done')
#14
न|na|na — not
कर्तृत्वं|kartṛtvam|kartṛ — agent, doer (kartṛtva: 'agency, the state of being an agent', acc. sg. neut.)
न|na|na — not
कर्माणि|karmāṇi|karman — action (acc. pl.)
लोकस्य|lokasya|loka — world (gen. sg. 'of the world', i.e. for the beings of the world)
सृजति|sṛjati|sṛj — to create, produce (sṛjati: present 3rd sg.)
प्रभुः|prabhuḥ|prabhu — lord, master (nom. sg., subject, referring to the self)
--
न|na|na — not
कर्मफलसंयोगं|karma-phala-saṃyogam|karman — action (first compound member);;phala — fruit (second compound member);;saṃyoga — union, connection (karma-phala-saṃyoga: 'connection with the fruit of action', acc. sg., object of sṛjati, continued from line 1)
स्वभावस्तु|svabhāvaḥ tu|sva-bhāva — one's own nature, inherent nature (svabhāvaḥ: nom. sg., subject; -aḥ + t- → -as t-);;tu — but, rather
प्रवर्तते|pravartate|pra-vṛt — to proceed, operate, come into play (pravartate: present middle 3rd sg. 'proceeds, functions')
#15
नादत्ते|na ādatte|na — not (na + ā- → nā-);;ā-dā — to take, accept, receive (ādatte: present middle 3rd sg. 'takes, accepts')
कस्यचित्पापं|kasyacit pāpam|kaḥ-cit — anyone, someone (kasyacit: gen. sg. indefinite 'of anyone');;pāpa — sin, evil (pāpam: acc. sg., object of ādatte)
न|na|na — not
चैव|ca eva|ca — and (ca + e- → cai-);;eva — indeed, likewise
सुकृतं|sukṛtam|su-kṛta — a good deed, merit (sukṛtam: acc. sg., object of ādatte, parallel to pāpam)
विभुः|vibhuḥ|vibhu — the all-pervading one, the lord (nom. sg., subject, referring to the self; cf. prabhuḥ of v.14)
--
अज्ञानेनावृतं|ajñānena āvṛtam|a-jñāna — ignorance (ajñānena: instr. sg. 'by ignorance');;ā-vṛ — to cover, veil (āvṛta: past participle 'covered, veiled', nom. sg. neut., agreeing with jñānam; ajñānena + ā- → ajñānenā-)
ज्ञानं|jñānam|jñāna — knowledge (nom. sg. neut., subject)
तेन|tena|tad — that, it (tena: instr. sg. 'by that [ignorance]')
मुह्यन्ति|muhyanti|muh — to be deluded, confused (muhyanti: present 3rd pl.)
जन्तवः|jantavaḥ|jantu — a creature, a being (nom. pl., subject of muhyanti)
#16
ज्ञानेन|jñānena|jñāna — knowledge (instr. sg. 'by knowledge')
तु|tu|tu — but, however
तदज्ञानं|tat ajñānam|tad — that (tat: nom. sg. neut., in apposition to ajñānam; -t + a- → -d a-);;a-jñāna — ignorance (ajñānam: nom. sg. neut., subject of nāśitam)
येषां|yeṣām|yad — who (yeṣām: gen. pl. relative 'of whom, for whom')
नाशितमात्मनः|nāśitam ātmanaḥ|naś — to destroy (causative nāśayati; nāśitam: past participle 'destroyed', nom. sg. neut., agreeing with ajñānam);;ātman — self (ātmanaḥ: gen. sg. 'of the self, their own')
--
तेषामादित्यवज्ज्ञानं|teṣām āditya-vat jñānam|tad — that, they (teṣām: gen. pl. 'for them, of them');;āditya — the sun (āditya-vat: adverbial with -vat, 'like the sun');;jñāna — knowledge (jñānam: nom. sg. neut., subject of prakāśayati; -vat + j- → -vajj-)
प्रकाशयति|prakāśayati|pra-kāś — to shine forth, illumine (causative prakāśayati: present 3rd sg. 'illumines, reveals')
तत्परम्|tat param|tad — that (referring to the supreme reality);;para — supreme, the highest (tat param: 'that supreme [reality]', acc. sg. neut., object of prakāśayati)
#17
तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः|tad-buddhayaḥ tad-ātmānaḥ tan-niṣṭhāḥ tat-parāyaṇāḥ|tad — that, brahman (first member in each compound, referring to brahman);;buddhi — intellect, understanding (tad-buddhi: 'whose understanding is fixed on that', buddhayaḥ: nom. pl.; -aḥ + t- → -as t-);;tad — that (repeated);;ātman — self (tad-ātman: 'whose mind is that', ātmānaḥ: nom. pl.; -aḥ + t- → -as t-);;tad — that (repeated, tan- before n-);;niṣṭhā — foundation, ground, steadfastness (tan-niṣṭhā: 'grounded in that', niṣṭhāḥ: nom. pl.; -āḥ + t- → -ās t-);;tad — that (repeated);;parāyaṇa — wholly devoted to, intent upon (tat-parāyaṇa: 'devoted to that', nom. pl., subject of gacchanti)
--
गच्छन्त्यपुनरावृत्तिं|gacchanti apunar-āvṛttim|gam — to go (gacchanti: present 3rd pl. 'they go'; -i + a- → -y a-);;a-punar-āvṛtti — non-return (apunarāvṛtti: acc. sg. fem., object of gacchanti, 'to non-return, no rebirth')
ज्ञाननिर्धूतकल्मषाः|jñāna-nirdhūta-kalmaṣāḥ|jñāna — knowledge (first compound member);;nir-dhū — to shake off, remove (nirdhūta: past participle, second compound member);;kalmaṣa — sin, taint (jñāna-nirdhūta-kalmaṣa: 'whose sins are shaken off by knowledge', nom. pl.)
#18
विद्याविनयसंपन्ने|vidyā-vinaya-sampanne|vidyā — learning, knowledge (first compound member);;vinaya — humility, discipline, good conduct (second compound member);;sampanna — endowed with, possessed of (vidyā-vinaya-sampanna: 'endowed with learning and humility', loc. sg., agreeing with brāhmaṇe)
ब्राह्मणे|brāhmaṇe|brāhmaṇa — a brahmin (loc. sg.)
गवि|gavi|go — cow, ox (loc. sg. 'in a cow')
हस्तिनि|hastini|hastin — elephant (loc. sg.)
--
शुनि|śuni|śvan — dog (śuni: loc. sg.)
चैव|ca eva|ca — and (ca + e- → cai-);;eva — indeed, even
श्वपाके|śva-pāke|śvan — dog (first compound member);;pāka — cooking (śva-pāka: 'dog-cooker', a term for an outcaste; loc. sg.)
च|ca|ca — and
पण्डिताः|paṇḍitāḥ|paṇḍita — the wise, the learned (nom. pl., subject)
समदर्शिनः|sama-darśinaḥ|sama — equal, the same (first compound member);;darśin — seeing (sama-darśin: 'seeing with an equal eye', nom. pl., predicate)
#19
इहैव|iha eva|iha — here, in this world, in this very life (iha + e- → ihai-);;eva — even, indeed
तैर्जितः|taiḥ jitaḥ|tad — they (taiḥ: instr. pl. 'by them'; -aiḥ + j- → -air j-);;ji — to conquer (jita: past participle 'conquered', nom. sg., agreeing with sargaḥ)
सर्गो|sargaḥ|sarga — creation, birth, the cycle of rebirth (nom. sg., subject; -aḥ before y- → -o)
येषां|yeṣām|yad — who (yeṣām: gen. pl. relative 'whose')
साम्ये|sāmye|sāmya — sameness, equality, equanimity (loc. sg.)
स्थितं|sthitam|sthā — to stand, be established (sthita: past participle 'established, fixed', nom. sg. neut., agreeing with manaḥ)
मनः|manaḥ|manas — mind (nom. sg. neut., subject of sthitam)
--
निर्दोषं|nirdoṣam|nir-doṣa — faultless, without blemish (nom. sg. neut., predicate agreeing with brahma)
हि|hi|hi — for, indeed
समं|samam|sama — equal, the same (nom. sg. neut., predicate)
ब्रह्म|brahma|brahman — brahman (nom. sg. neut., subject, kept untranslated)
तस्माद्ब्रह्मणि|tasmāt brahmaṇi|tad — that (tasmāt: abl. sg. 'therefore'; -t + b- → -d b-);;brahman — brahman (brahmaṇi: loc. sg. 'in brahman', kept untranslated)
ते|te|tad — they (nom. pl.)
स्थिताः|sthitāḥ|sthā — to stand, be established (sthita: past participle 'established', nom. pl., predicate 'are established')
#20
न|na|na — not
प्रहृष्येत्प्रियं|prahṛṣyet priyam|pra-hṛṣ — to rejoice, exult (prahṛṣyet: optative 3rd sg. 'should rejoice');;priya — dear, pleasant (priyam: acc. sg. neut., object of prāpya, 'on obtaining the pleasant')
प्राप्य|prāpya|pra-āp — to obtain, attain (prāpya: gerund 'having obtained')
नोद्विजेत्प्राप्य|na udvijet prāpya|na — not (na + u- → no-);;ud-vij — to be agitated, recoil, be repelled (udvijet: optative 3rd sg. 'should be agitated, repelled');;pra-āp — to obtain (prāpya: gerund 'having obtained', repeated)
चाप्रियम्|ca apriyam|ca — and (ca + a- → cā-);;a-priya — unpleasant, disagreeable (apriyam: acc. sg. neut., object of the second prāpya)
--
स्थिरबुद्धिरसंमूढो|sthira-buddhiḥ asammūḍhaḥ|sthira — steady, firm (first compound member);;buddhi — intellect, understanding (sthira-buddhi: 'of steady intellect', buddhiḥ: nom. sg.; -iḥ + a- → -ir a-);;a-sammūḍha — undeluded, unconfused (asammūḍhaḥ: nom. sg.; -aḥ before b- → -o)
ब्रह्मविद्ब्रह्मणि|brahma-vit brahmaṇi|brahman — brahman (first compound member, kept untranslated);;vid — knowing (vit: 'a knower', brahma-vit: 'a knower of brahman', nom. sg.; -t + b- → -d b-);;brahman — brahman (brahmaṇi: loc. sg. 'in brahman', kept untranslated)
स्थितः|sthitaḥ|sthā — to stand, be established (sthita: past participle 'established', nom. sg., predicate)
#21
बाह्यस्पर्शेष्वसक्तात्मा|bāhya-sparśeṣu asakta-ātmā|bāhya — external, outer (first compound member);;sparśa — contact, touch (bāhya-sparśa: 'external contact', sparśeṣu: loc. pl. 'in external contacts'; -eṣu + a- → -eṣva-);;a-sakta — unattached (asakta: past participle, first member);;ātman — self (asakta-ātman: 'whose self is unattached', nom. sg.; asakta + ātmā → asaktātmā)
विन्दत्यात्मनि|vindati ātmani|vid — to find (vindati: present 3rd sg. 'finds'; -i + ā- → -y ā-);;ātman — self (ātmani: loc. sg. 'in the self')
यत्|yat|yad — which (acc. sg. neut. relative, object of vindati)
सुखम्|sukham|sukha — happiness (acc. sg. neut., in apposition to yat)
--
स|saḥ|tad — that, he (nom. sg. masc.)
ब्रह्मयोगयुक्तात्मा|brahma-yoga-yukta-ātmā|brahman — brahman (first compound member, kept untranslated);;yoga — yoga, discipline (brahma-yoga: 'the discipline [that unites one] with brahman', second member);;yukta — joined, united (third member);;ātman — self (brahma-yoga-yukta-ātman: 'whose self is united through the discipline of brahman', nom. sg., subject)
सुखमक्षयमश्नुते|sukham akṣayam aśnute|sukha — happiness (sukham: acc. sg., object of aśnute);;a-kṣaya — imperishable, undecaying (akṣayam: acc. sg., agreeing with sukham);;aś — to obtain, enjoy, partake of (aśnute: present middle 3rd sg. 'enjoys')
#22
ये|ye|yad — which (nom. pl. masc. relative)
हि|hi|hi — indeed, for
संस्पर्शजा|saṃsparśa-jāḥ|sam-sparśa — contact (first compound member);;ja — born of, arising from (saṃsparśa-ja: 'born of [sense-]contact', nom. pl.; -āḥ before bh- → -ā)
भोगा|bhogāḥ|bhoga — enjoyment, pleasure (nom. pl., subject; -āḥ before d- → -ā)
दुःखयोनय|duḥkha-yonayaḥ|duḥkha — sorrow, suffering (first compound member);;yoni — womb, source (duḥkha-yoni: 'a source of suffering', nom. pl.; -aḥ before e- → -a)
एव|eva|eva — indeed, truly
ते|te|tad — that, they (nom. pl.)
--
आद्यन्तवन्तः|ādi-anta-vantaḥ|ādi — beginning (first compound member; ādi + anta → ādyanta);;anta — end (second member);;vant — possessed of, having (ādi-anta-vant: 'having a beginning and an end', nom. pl.)
कौन्तेय|kaunteya|Kaunteya — 'son of Kuntī', epithet of Arjuna (vocative)
न|na|na — not
तेषु|teṣu|tad — that, they (teṣu: loc. pl. 'in them')
रमते|ramate|ram — to delight, take pleasure (ramate: present middle 3rd sg.)
बुधः|budhaḥ|budh — to know (budha: 'the wise one', nom. sg., subject)
#23
शक्नोतीहैव|śaknoti iha eva|śak — to be able (śaknoti: present 3rd sg. 'is able'; -i + i- → -ī-);;iha — here, in this life (iha + e- → ihai-);;eva — even, indeed
यः|yaḥ|yad — who (nom. sg. masc. relative)
सोढुं|soḍhum|sah — to bear, endure, withstand (soḍhum: infinitive 'to endure')
प्राक्शरीरविमोक्षणात्|prāk śarīra-vimokṣaṇāt|prāk — before (adverb);;śarīra — body (first compound member);;vi-muc — to release (vimokṣaṇa: 'release, casting off', second member; śarīra-vimokṣaṇa: 'the release of the body, i.e. death', abl. sg. 'before')
--
